CNN,Training image count,Noise addition,Label count,Epoch count,Loss,Accuracy
Fashion-MNIST,20000,0,2,99,0.00E+00,1
Fashion-MNIST,20000,0,2,100,1.19E-11,1
Fashion-MNIST,20000,0,3,1,0.5404,0.7323
Fashion-MNIST,20000,0,3,2,0.188,0.9386
Fashion-MNIST,20000,0,3,3,0.0579,0.9879
Fashion-MNIST,20000,0,3,4,0.0246,0.995
Fashion-MNIST,20000,0,3,5,0.0146,0.9974
Fashion-MNIST,20000,0,3,6,0.0112,0.998
Fashion-MNIST,20000,0,3,7,0.0063,0.9984
Fashion-MNIST,20000,0,3,8,0.0051,0.9988
Fashion-MNIST,20000,0,3,9,0.0059,0.9984
Fashion-MNIST,20000,0,3,10,0.0044,0.9987
Fashion-MNIST,20000,0,3,11,0.0039,0.9993
Fashion-MNIST,20000,0,3,12,0.0029,0.9992
Fashion-MNIST,20000,0,3,13,0.0021,0.9996
Fashion-MNIST,20000,0,3,14,0.0024,0.9994
Fashion-MNIST,20000,0,3,15,0.0026,0.9995
Fashion-MNIST,20000,0,3,16,0.0032,0.9989
Fashion-MNIST,20000,0,3,17,0.0017,0.9996
Fashion-MNIST,20000,0,3,18,0.0014,0.9996
Fashion-MNIST,20000,0,3,19,0.0015,0.9997
Fashion-MNIST,20000,0,3,20,0.0013,0.9997
Fashion-MNIST,20000,0,3,21,0.001,0.9998
Fashion-MNIST,20000,0,3,22,0.0013,0.9996
Fashion-MNIST,20000,0,3,23,0.0011,0.9997
Fashion-MNIST,20000,0,3,24,0.0018,0.9991
Fashion-MNIST,20000,0,3,25,0.0011,0.9996
Fashion-MNIST,20000,0,3,26,0.0011,0.9997
Fashion-MNIST,20000,0,3,27,0.0013,0.9996
Fashion-MNIST,20000,0,3,28,0.0017,0.9995
Fashion-MNIST,20000,0,3,29,0.0011,0.9996
Fashion-MNIST,20000,0,3,30,6.77E-04,0.9998
Fashion-MNIST,20000,0,3,31,0.0033,0.9988
Fashion-MNIST,20000,0,3,32,9.01E-04,0.9998
Fashion-MNIST,20000,0,3,33,9.96E-04,0.9997
Fashion-MNIST,20000,0,3,34,0.0012,0.9998
Fashion-MNIST,20000,0,3,35,0.0014,0.9995
Fashion-MNIST,20000,0,3,36,0.0027,0.9991
Fashion-MNIST,20000,0,3,37,6.07E-04,0.9999
Fashion-MNIST,20000,0,3,38,6.64E-04,0.9998
Fashion-MNIST,20000,0,3,39,7.65E-04,0.9998
Fashion-MNIST,20000,0,3,40,5.63E-04,0.9998
Fashion-MNIST,20000,0,3,41,8.35E-04,0.9997
Fashion-MNIST,20000,0,3,42,0.001,0.9995
Fashion-MNIST,20000,0,3,43,6.25E-04,0.9997
Fashion-MNIST,20000,0,3,44,0.0019,0.9993
Fashion-MNIST,20000,0,3,45,7.19E-04,0.9999
Fashion-MNIST,20000,0,3,46,4.55E-04,0.9999
Fashion-MNIST,20000,0,3,47,4.79E-04,0.9998
Fashion-MNIST,20000,0,3,48,6.38E-04,0.9998
Fashion-MNIST,20000,0,3,49,6.79E-04,0.9999
Fashion-MNIST,20000,0,3,50,0.0013,0.9995
Fashion-MNIST,20000,0,3,51,4.53E-04,0.9999
Fashion-MNIST,20000,0,3,52,5.74E-04,0.9998
Fashion-MNIST,20000,0,3,53,5.00E-04,0.9999
Fashion-MNIST,20000,0,3,54,0.0014,0.9997
Fashion-MNIST,20000,0,3,55,0.0021,0.9994
Fashion-MNIST,20000,0,3,56,2.94E-04,0.9999
Fashion-MNIST,20000,0,3,57,7.29E-04,0.9998
Fashion-MNIST,20000,0,3,58,4.61E-04,0.9998
Fashion-MNIST,20000,0,3,59,6.50E-04,0.9997
Fashion-MNIST,20000,0,3,60,6.81E-04,0.9998
Fashion-MNIST,20000,0,3,61,7.18E-04,0.9998
Fashion-MNIST,20000,0,3,62,5.16E-04,0.9999
Fashion-MNIST,20000,0,3,63,9.53E-04,0.9996
Fashion-MNIST,20000,0,3,64,8.11E-04,0.9998
Fashion-MNIST,20000,0,3,65,5.87E-04,0.9997
Fashion-MNIST,20000,0,3,66,9.84E-04,0.9995
Fashion-MNIST,20000,0,3,67,5.18E-04,0.9999
Fashion-MNIST,20000,0,3,68,8.63E-04,0.9998
Fashion-MNIST,20000,0,3,69,7.59E-04,0.9996
Fashion-MNIST,20000,0,3,70,5.17E-04,0.9999
Fashion-MNIST,20000,0,3,71,8.19E-04,0.9998
Fashion-MNIST,20000,0,3,72,5.00E-04,0.9998
Fashion-MNIST,20000,0,3,73,7.59E-04,0.9996
Fashion-MNIST,20000,0,3,74,6.96E-04,0.9998
Fashion-MNIST,20000,0,3,75,4.10E-04,0.9999
Fashion-MNIST,20000,0,3,76,5.92E-04,0.9998
Fashion-MNIST,20000,0,3,77,5.69E-04,0.9999
Fashion-MNIST,20000,0,3,78,4.32E-04,0.9999
Fashion-MNIST,20000,0,3,79,0.0013,0.9995
Fashion-MNIST,20000,0,3,80,3.96E-04,0.9999
Fashion-MNIST,20000,0,3,81,5.10E-04,0.9997
Fashion-MNIST,20000,0,3,82,6.54E-04,0.9997
Fashion-MNIST,20000,0,3,83,3.99E-04,0.9999
Fashion-MNIST,20000,0,3,84,3.96E-04,0.9999
Fashion-MNIST,20000,0,3,85,3.72E-04,0.9999
Fashion-MNIST,20000,0,3,86,6.03E-04,0.9998
Fashion-MNIST,20000,0,3,87,1.98E-04,1
Fashion-MNIST,20000,0,3,88,3.68E-04,1
Fashion-MNIST,20000,0,3,89,5.75E-04,0.9998
Fashion-MNIST,20000,0,3,90,0.0011,0.9996
Fashion-MNIST,20000,0,3,91,3.81E-04,0.9999
Fashion-MNIST,20000,0,3,92,5.38E-04,0.9999
Fashion-MNIST,20000,0,3,93,4.77E-04,0.9998
Fashion-MNIST,20000,0,3,94,1.75E-04,0.9999
Fashion-MNIST,20000,0,3,95,5.87E-04,0.9998
Fashion-MNIST,20000,0,3,96,5.55E-04,0.9998
Fashion-MNIST,20000,0,3,97,1.69E-04,0.9999
Fashion-MNIST,20000,0,3,98,0.0013,0.9993
Fashion-MNIST,20000,0,3,99,2.10E-04,0.9999
Fashion-MNIST,20000,0,3,100,2.19E-04,1
Fashion-MNIST,20000,0,4,1,0.8292,0.614
Fashion-MNIST,20000,0,4,2,0.5032,0.7987
Fashion-MNIST,20000,0,4,3,0.2196,0.9195
Fashion-MNIST,20000,0,4,4,0.1312,0.9558
Fashion-MNIST,20000,0,4,5,0.0883,0.9718
Fashion-MNIST,20000,0,4,6,0.0618,0.9817
Fashion-MNIST,20000,0,4,7,0.0462,0.9873
Fashion-MNIST,20000,0,4,8,0.0338,0.9902
